isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	EHFB
True	0.0	33.250277	2e-06	1.227054	0.0	0.416825	0.0	0.139562	-1888.566908
True	1e-06	33.182133	0.0	1.223982	0.0	0.415754	0.0	0.149556	-1887.190303
True	1e-06	33.826097	1e-06	1.24755	0.0	0.484256	0.0	0.166346	-1889.358069
True	0.0	33.720023	2e-06	1.251847	0.0	0.455683	0.0	0.150205	-1888.269244
True	2e-06	33.929555	4e-06	1.244474	0.0	0.495942	0.0	0.160422	-1889.532686
True	1e-06	33.523914	1e-06	1.235109	0.0	0.448732	0.0	0.144852	-1888.580698
True	1e-06	33.130663	2e-06	1.218583	0.0	0.406594	0.0	0.138052	-1888.910486
True	0.0	33.690317	2e-06	1.246583	0.0	0.458373	0.0	0.149467	-1888.874142
True	0.0	33.177538	2e-06	1.193759	0.0	0.480542	0.0	0.165191	-1888.047139
True	4e-06	32.18273	2e-06	1.154196	0.0	0.369468	1e-06	0.134521	-1889.562728
